,Unnamed: 0,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,LAST UPDATE,DATES
971,67,25,dublin,MERRION SQUARE EAST,Merrion Square East,"{'lat': 53.339434, 'lng': -6.246548}",False,False,30,24,6,OPEN,1670679134000,2022-12-10 13:32:14
972,68,51,dublin,YORK STREET WEST,York Street West,"{'lat': 53.339334, 'lng': -6.264699}",False,False,40,14,26,OPEN,1670679015000,2022-12-10 13:30:15
973,69,37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,"{'lat': 53.337494, 'lng': -6.26199}",True,False,30,20,10,OPEN,1670679217000,2022-12-10 13:33:37
974,70,59,dublin,DENMARK STREET GREAT,Denmark Street Great,"{'lat': 53.35561, 'lng': -6.261397}",False,False,20,20,0,OPEN,1670678987000,2022-12-10 13:29:47
975,71,95,dublin,ROYAL HOSPITAL,Royal Hospital,"{'lat': 53.343897, 'lng': -6.29706}",False,False,40,7,33,OPEN,1670679514000,2022-12-10 13:38:34
976,72,94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),"{'lat': 53.346985, 'lng': -6.297804}",False,False,40,34,6,OPEN,1670678954000,2022-12-10 13:29:14
977,73,105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),"{'lat': 53.355954, 'lng': -6.278378}",False,False,36,35,1,OPEN,1670679384000,2022-12-10 13:36:24
978,74,36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,"{'lat': 53.337824, 'lng': -6.256035}",False,False,40,35,5,OPEN,1670679237000,2022-12-10 13:33:57
979,75,93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),"{'lat': 53.346603, 'lng': -6.296924}",False,False,40,13,27,OPEN,1670679348000,2022-12-10 13:35:48
980,76,22,dublin,TOWNSEND STREET,Townsend Street,"{'lat': 53.345922, 'lng': -6.254614}",False,False,20,4,16,OPEN,1670679279000,2022-12-10 13:34:39
981,77,50,dublin,GEORGES LANE,George's Lane,"{'lat': 53.35023, 'lng': -6.279696}",False,False,40,39,1,OPEN,1670679372000,2022-12-10 13:36:12
982,78,110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,"{'lat': 53.356307, 'lng': -6.273717}",False,False,40,23,17,OPEN,1670679401000,2022-12-10 13:36:41
983,79,12,dublin,ECCLES STREET,Eccles Street,"{'lat': 53.359246, 'lng': -6.269779}",False,False,20,20,0,OPEN,1670679402000,2022-12-10 13:36:42
984,80,34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,"{'lat': 53.330362, 'lng': -6.265163}",False,False,30,12,18,OPEN,1670679142000,2022-12-10 13:32:22
985,81,78,dublin,MATER HOSPITAL,Mater Hospital,"{'lat': 53.359967, 'lng': -6.264828}",False,False,40,35,5,OPEN,1670679488000,2022-12-10 13:38:08
986,82,2,dublin,BLESSINGTON STREET,Blessington Street,"{'lat': 53.356769, 'lng': -6.26814}",False,False,20,15,5,OPEN,1670679303000,2022-12-10 13:35:03
987,83,75,dublin,JAMES STREET,James Street,"{'lat': 53.343456, 'lng': -6.287409}",False,False,40,14,26,OPEN,1670679449000,2022-12-10 13:37:29
988,84,111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,"{'lat': 53.356717, 'lng': -6.256359}",False,False,40,38,2,OPEN,1670679453000,2022-12-10 13:37:33
989,85,26,dublin,MERRION SQUARE WEST,Merrion Square West,"{'lat': 53.339764, 'lng': -6.251988}",True,False,20,0,20,OPEN,1670679530000,2022-12-10 13:38:50
